date,temperature,humidity,luminosity
2019-12-04 15:05:22.653,21.8,34.5,198
2019-12-04 15:05:24.930,21.8,34.5,198
2019-12-04 15:05:27.207,21.8,34.4,198
2019-12-04 15:05:29.485,21.7,34.2,197
2019-12-04 15:05:31.757,21.8,34.1,199
2019-12-04 15:05:34.035,21.8,34.0,198
2019-12-04 15:05:36.312,21.8,33.9,198
2019-12-04 15:05:38.590,21.8,33.8,200
2019-12-04 15:05:40.866,21.8,33.6,200
2019-12-04 15:05:43.139,21.7,33.4,201
2019-12-04 15:05:45.417,21.7,33.4,200
2019-12-04 15:05:47.694,22.2,33.8,223
2019-12-04 15:05:49.971,21.8,33.7,231
2019-12-04 15:05:52.245,21.8,33.7,227
2019-12-04 15:05:54.521,21.8,33.7,226
2019-12-04 15:05:56.800,21.8,33.6,226
2019-12-04 15:05:59.076,21.8,33.5,226
2019-12-04 15:06:01.354,21.8,33.5,226
2019-12-04 15:06:03.627,21.8,33.5,225
2019-12-04 15:06:05.904,21.8,33.6,227
2019-12-04 15:06:08.181,21.8,33.6,227
2019-12-04 15:06:10.459,21.7,33.5,229
2019-12-04 15:06:12.735,21.8,33.5,227
2019-12-04 15:06:15.009,21.8,33.5,226
2019-12-04 15:06:17.286,21.8,33.5,226
2019-12-04 15:06:19.563,21.8,33.5,229
2019-12-04 15:06:21.841,21.7,33.4,229
2019-12-04 15:06:24.118,21.8,33.5,227
2019-12-04 15:06:26.391,21.8,33.5,227
2019-12-04 15:06:28.669,21.8,33.4,229
2019-12-04 15:06:30.947,21.8,33.4,227
2019-12-04 15:06:33.223,21.8,33.4,227
2019-12-04 15:06:35.496,21.8,33.4,226
2019-12-04 15:06:37.774,21.8,33.5,229
2019-12-04 15:06:40.051,21.8,33.5,229
2019-12-04 15:06:42.329,21.8,33.6,227
2019-12-04 15:06:44.605,21.7,33.5,226
2019-12-04 15:06:46.879,21.8,33.5,229
2019-12-04 15:06:49.156,21.7,33.4,226
2019-12-04 15:06:51.432,21.8,33.5,226
2019-12-04 15:06:53.710,21.7,33.4,227
2019-12-04 15:06:55.988,21.7,33.4,227
2019-12-04 15:06:58.260,21.8,33.5,229
2019-12-04 15:07:00.538,21.8,33.5,226
2019-12-04 15:07:02.815,21.8,33.5,226
2019-12-04 15:07:05.093,21.7,33.4,227
2019-12-04 15:07:07.366,21.7,33.4,225
2019-12-04 15:07:09.642,21.8,33.4,226
2019-12-04 15:07:11.919,21.7,33.3,227
2019-12-04 15:07:14.197,21.7,33.3,229
2019-12-04 15:07:16.475,21.8,33.4,227
2019-12-04 15:07:18.748,21.7,33.2,227
2019-12-04 15:07:21.025,21.7,33.2,227
2019-12-04 15:07:23.302,21.7,33.2,227
2019-12-04 15:07:25.579,21.7,33.2,226
2019-12-04 15:07:27.857,21.7,33.3,227
2019-12-04 15:07:30.130,21.7,33.4,227
2019-12-04 15:07:32.406,21.7,33.6,227
2019-12-04 15:07:34.684,21.7,33.7,226
2019-12-04 15:07:36.961,21.7,33.7,229
2019-12-04 15:07:39.234,21.7,33.7,229
2019-12-04 15:07:41.512,21.7,33.7,229
2019-12-04 15:07:43.789,21.8,33.7,229
2019-12-04 15:07:46.066,21.7,33.5,229
2019-12-04 15:07:48.343,21.7,33.5,227
2019-12-04 15:07:50.617,21.8,33.5,227
2019-12-04 15:07:52.893,21.7,33.4,225
2019-12-04 15:07:55.171,21.7,33.4,225
2019-12-04 15:07:57.448,21.7,33.3,227
2019-12-04 15:07:59.725,21.7,33.3,227
2019-12-04 15:08:01.999,21.7,33.3,226
2019-12-04 15:08:04.277,21.7,33.3,229
2019-12-04 15:08:06.553,21.7,33.3,227
2019-12-04 15:08:08.831,21.7,33.3,226
2019-12-04 15:08:11.109,21.7,33.4,227
2019-12-04 15:08:13.382,21.7,33.4,227
2019-12-04 15:08:15.660,21.7,33.4,229
2019-12-04 15:08:17.936,21.7,33.4,227
2019-12-04 15:08:20.214,21.7,33.4,227
2019-12-04 15:08:22.487,21.7,33.4,227
2019-12-04 15:08:24.764,21.8,33.5,227
2019-12-04 15:08:27.042,21.8,33.5,225
2019-12-04 15:08:29.319,21.7,33.4,223
2019-12-04 15:08:31.596,21.7,33.4,225
2019-12-04 15:08:33.869,21.6,33.4,226
2019-12-04 15:08:36.147,21.7,33.5,226
2019-12-04 15:08:38.424,21.7,33.6,227
2019-12-04 15:08:40.701,21.7,33.7,227
2019-12-04 15:08:42.975,21.9,34.0,225
2019-12-04 15:08:45.251,21.7,33.8,226
2019-12-04 15:08:47.528,21.7,33.8,226
2019-12-04 15:08:49.807,21.7,33.8,227
2019-12-04 15:08:52.084,21.7,33.8,226
2019-12-04 15:08:54.356,21.7,33.7,223
2019-12-04 15:08:56.634,21.6,33.7,226
2019-12-04 15:08:58.911,21.7,33.7,225
2019-12-04 15:09:01.189,21.7,33.7,225
2019-12-04 15:09:03.462,21.6,33.6,226
2019-12-04 15:09:05.739,21.7,33.7,225
2019-12-04 15:09:08.016,21.7,33.7,225
2019-12-04 15:09:10.292,21.7,33.7,225
2019-12-04 15:09:12.569,21.6,33.6,225
2019-12-04 15:09:14.843,21.7,33.7,225
2019-12-04 15:09:17.120,21.7,33.7,225
2019-12-04 15:09:19.397,21.6,33.7,225
2019-12-04 15:09:21.675,21.7,33.8,225
2019-12-04 15:09:23.949,21.6,33.7,225
2019-12-04 15:09:26.226,21.5,33.7,223
2019-12-04 15:09:28.502,21.7,33.9,225
2019-12-04 15:09:30.779,21.6,34.1,225
2019-12-04 15:09:33.057,21.6,34.3,225
2019-12-04 15:09:35.330,21.6,34.3,225
2019-12-04 15:09:37.608,21.6,34.3,226
2019-12-04 15:09:39.884,21.6,34.3,225
2019-12-04 15:09:42.162,21.7,34.3,225
2019-12-04 15:09:44.435,21.7,34.2,227
2019-12-04 15:09:46.712,21.6,34.1,223
2019-12-04 15:09:48.990,21.7,34.2,227
2019-12-04 15:09:51.267,21.6,34.0,227
2019-12-04 15:09:53.544,21.6,34.0,227
2019-12-04 15:09:55.818,21.7,34.0,227
2019-12-04 15:09:58.095,21.7,34.0,226
2019-12-04 15:10:00.371,21.6,33.9,225
2019-12-04 15:10:02.649,21.6,33.9,223
2019-12-04 15:10:04.923,21.6,33.9,225
2019-12-04 15:10:07.201,21.6,33.9,225
2019-12-04 15:10:09.477,21.6,33.9,225
2019-12-04 15:10:11.755,21.6,33.9,225
2019-12-04 15:10:14.033,21.6,33.9,226
2019-12-04 15:10:16.305,21.7,34.0,227
2019-12-04 15:10:18.583,21.7,34.0,226
2019-12-04 15:10:20.860,21.7,34.1,226
2019-12-04 15:10:23.138,21.6,34.0,227
2019-12-04 15:10:25.410,21.6,34.0,226
2019-12-04 15:10:27.688,21.7,34.2,227
2019-12-04 15:10:29.965,21.7,34.2,227
2019-12-04 15:10:32.242,21.6,34.1,229
2019-12-04 15:10:34.520,21.6,34.1,227
2019-12-04 15:10:36.793,21.6,34.0,227
2019-12-04 15:10:39.070,21.7,34.1,227
2019-12-04 15:10:41.347,21.7,34.0,227
2019-12-04 15:10:43.625,21.6,33.9,227
2019-12-04 15:10:45.897,21.7,34.0,229
2019-12-04 15:10:48.175,21.7,33.9,229
2019-12-04 15:10:50.452,21.6,33.8,229
2019-12-04 15:10:52.729,21.6,33.8,227
2019-12-04 15:10:55.006,21.6,33.8,227
2019-12-04 15:10:57.280,21.6,33.7,227
2019-12-04 15:10:59.558,21.7,33.8,227
2019-12-04 15:11:01.834,21.8,33.8,227
2019-12-04 15:11:04.112,21.6,33.6,227
2019-12-04 15:11:06.385,21.7,33.7,229
2019-12-04 15:11:08.662,21.7,33.7,227
2019-12-04 15:11:10.939,21.6,33.6,227
2019-12-04 15:11:13.217,21.7,33.7,229
2019-12-04 15:11:15.494,21.7,33.7,229
2019-12-04 15:11:17.767,21.6,33.6,227
2019-12-04 15:11:20.045,21.7,33.7,229
2019-12-04 15:11:22.322,21.6,33.6,227
2019-12-04 15:11:24.599,21.6,33.6,227
2019-12-04 15:11:26.873,21.5,33.6,229
2019-12-04 15:11:29.149,21.6,33.6,226
2019-12-04 15:11:31.427,21.7,33.7,227
2019-12-04 15:11:33.704,21.7,33.7,227
2019-12-04 15:11:35.977,21.6,33.7,227
2019-12-04 15:11:38.254,21.6,33.7,229
