date,temperature,humidity,luminosity
43:00.8,21.5,37.8,258
42:58.5,21.5,37.9,258
42:56.3,21.5,38.1,258
42:54.0,21.5,38.3,258
42:51.7,21.5,38.6,258
42:49.4,21.6,38.8,258
42:47.2,21.5,38.9,260
42:44.9,21.5,39.1,258
42:42.6,21.4,39.2,258
42:40.4,21.4,39.4,256
42:38.1,21.5,39.6,258
42:35.8,21.4,39.4,256
42:33.5,21.5,39.2,258
42:31.2,21.5,38.8,258
42:29.0,21.5,38.2,258
42:26.7,21.5,37.8,258
42:24.4,21.4,37.8,258
42:22.2,21.4,37.9,258
42:19.9,21.5,38.1,258
42:17.6,21.4,38,260
42:15.3,21.4,38.1,261
42:13.1,21.5,38.3,263
42:10.8,21.4,38.2,263
42:08.5,21.4,38.1,261
42:06.2,21.4,37.9,263
42:04.0,21.4,37.1,256
42:01.7,21.5,37,258
41:59.4,21.4,36.6,261
41:57.1,21.5,36.5,258
41:54.9,21.5,36.6,261
41:52.6,21.4,36.5,261
41:50.3,21.5,36.6,263
41:48.0,21.4,36.6,258
41:45.8,21.5,36.7,258
41:43.5,21.4,36.7,258
41:41.2,21.5,36.8,258
41:38.9,21.5,36.9,256
41:36.7,21.5,36.9,254
41:34.4,21.5,37,258
41:32.1,21.5,37.1,256
41:29.8,21.5,37.2,256
41:27.6,21.5,37.3,258
41:25.3,21.5,37.4,258
41:23.0,21.5,37.6,258
41:20.7,21.5,37.8,256
41:18.5,21.5,38,256
41:16.2,21.4,38.1,256
41:13.9,21.5,38.4,256
41:11.6,21.5,38.6,258
41:09.4,21.5,38.8,256
41:07.1,21.5,39,258
41:04.8,21.5,38.9,258
41:02.5,21.4,38.3,256
41:00.3,21.5,37.5,258
40:58.0,21.4,37.4,258
40:55.7,21.4,37.4,258
40:53.4,21.5,37.3,263
40:51.2,21.5,37.1,261
40:48.9,21.4,37,263
40:46.6,21.5,37.1,261
40:44.3,21.4,37,261
40:42.1,21.4,37,261
40:39.8,21.4,37,243
40:37.5,21.3,37,258
40:35.2,21.4,37.1,261
40:33.0,21.4,37.1,263
40:30.7,21.4,37.1,261
40:28.4,21.4,37,263
40:26.1,21.5,37.1,256
40:23.9,21.4,37,256
40:21.6,21.5,37.1,258
40:19.3,21.4,37.1,258
40:17.0,21.5,37.2,258
40:14.8,21.5,37.3,258
40:12.5,21.5,37.3,256
40:10.2,21.6,37.5,258
40:07.9,21.5,37.5,258
40:05.7,21.5,37.6,258
40:03.4,21.5,37.6,258
40:01.1,21.5,37.7,258
39:58.8,21.5,37.8,258
39:56.6,21.5,37.9,258
39:54.3,21.5,38,256
39:52.0,21.5,38.2,258
39:49.7,21.5,38.3,256
39:47.5,21.5,38.5,258
39:45.2,21.5,38.7,258
39:42.9,21.5,38.9,258
39:40.6,21.5,39.2,256
39:38.4,21.5,39.5,258
39:36.1,21.5,39.8,258
39:33.8,21.5,40.1,260
39:31.5,21.5,40.4,258
39:29.3,21.5,40.7,258
39:27.0,21.5,40.9,258
39:24.7,21.5,40.9,249
39:22.4,21.5,40.7,247
39:20.2,21.6,40.5,250
39:17.9,21.5,40,250
39:15.6,21.5,39.1,250
39:13.3,21.5,38.6,252
39:11.1,21.4,38.2,250
39:08.8,21.4,37.9,252
39:06.5,21.5,37.8,252
39:04.2,21.5,38,252
39:02.0,21.4,38,247
38:59.7,21.5,38.2,249
38:57.4,21.5,38.3,247
38:55.1,21.5,38.4,249
38:52.9,21.4,38.3,247
38:50.6,21.5,38.2,256
38:48.3,21.5,37.4,258
38:46.0,21.4,37.4,256
38:43.8,21.4,37.3,249
38:41.5,21.5,37.3,247
38:39.2,21.5,37.4,249
38:11.7,21.5,37.5,252
38:09.5,21.5,37.6,252
37:39.1,21.4,38.3,258
37:36.8,21.4,38.2,256
37:34.5,21.4,38,249
37:32.3,21.4,38,252
37:30.4,21.5,38.2,256
37:30.4,21.6,38.4,258
2019-12-11 14:37,21.5,38.4,258
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
